		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 639.984375	M = 327680	N = 8	m = 9	n = 2621440
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  653  671  606  658  634  628  696  666 10.674549 0.220830 SUCCESS   0
000000011  640  648  636  646  641  640  665  650  1.363134 0.994754 SUCCESS   1
000000101  672  692  635  623  659  651  679  666 10.870155 0.209166 SUCCESS   2
000000111  666  610  640  657  634  672  632  679  7.292427 0.505436 SUCCESS   3
000001001  636  636  642  665  633  637  665  625  2.536720 0.959997 SUCCESS   4
000001011  681  640  628  645  642  678  637  619  6.059902 0.640522 SUCCESS   5
000001101  614  663  647  633  673  629  622  630  4.746215 0.784325 SUCCESS   6
000001111  657  608  618  647  583  682  627  658 11.880003 0.156639 SUCCESS   7
000010001  671  630  644  609  649  615  616  666  6.457175 0.596162 SUCCESS   8
000010011  662  657  657  648  662  671  626  655  4.841518 0.774373 SUCCESS   9
000010101  636  659  654  630  636  618  694  664  7.542983 0.479335 SUCCESS  10
000010111  621  681  658  657  637  664  634  650  5.460306 0.707434 SUCCESS  11
000011001  642  674  653  633  672  650  664  614  6.071215 0.639255 SUCCESS  12
000011011  649  678  628  621  669  614  644  629  5.954549 0.652323 SUCCESS  13
000011101  638  634  659  652  652  642  587  675  7.640559 0.469345 SUCCESS  14
000011111  643  596  601  660  586  653  596  642 14.362074 0.072803 SUCCESS  15
000100011  674  611  669  577  633  605  661  633 13.849246 0.085780 SUCCESS  16
000100101  664  638  598  668  623  617  653  608  8.302882 0.404457 SUCCESS  17
000100111  664  663  677  645  676  656  587  607 12.849650 0.117128 SUCCESS  18
000101001  622  614  602  655  571  619  659  601 15.753488 0.046047 SUCCESS  19
000101011  640  638  677  632  628  645  654  606  4.780609 0.780747 SUCCESS  20
000101101  693  626  617  684  662  643  669  650 11.164246 0.192565 SUCCESS  21
000101111  636  702  661  640  627  664  630  600 10.904650 0.207161 SUCCESS  22
000110011  609  663  678  599  638  625  644  620  8.498791 0.386322 SUCCESS  23
000110101  629  656  660  639  642  688  633  647  5.149599 0.741474 SUCCESS  24
000110111  627  697  634  623  655  612  653  650  8.116316 0.422191 SUCCESS  25
000111001  641  659  643  608  629  664  636  629  3.601872 0.891141 SUCCESS  26
000111011  625  655  679  623  631  669  598  684 11.124650 0.194736 SUCCESS  27
000111101  632  591  631  615  679  650  680  631 10.460862 0.234157 SUCCESS  28
000111111  647  612  593  633  582  648  637  613 11.720660 0.164109 SUCCESS  29
001000011  633  659  679  608  661  634  626  647  5.943993 0.653506 SUCCESS  30
001000101  637  631  623  685  624  657  635  625  5.169953 0.739267 SUCCESS  31
001000111  649  619  640  627  638  608  645  654  3.133336 0.925713 SUCCESS  32
001001011  657  651  582  664  625  615  616  603 11.542074 0.172834 SUCCESS  33
001001101  661  598  681  627  629  669  615  662  9.901720 0.271992 SUCCESS  34
001001111  679  658  644  640  683  620  603  595 12.127781 0.145593 SUCCESS  35
001010011  617  651  638  671  617  602  698  635 11.276417 0.186523 SUCCESS  36
001010101  654  656  599  669  622  652  665  629  6.769801 0.561661 SUCCESS  37
001010111  644  641  613  644  619  651  671  624  4.106013 0.847434 SUCCESS  38
001011011  647  637  630  702  683  622  645  648 10.128387 0.256130 SUCCESS  39
001011101  613  648  639  597  645  665  645  659  5.945407 0.653347 SUCCESS  40
001011111  608  671  628  656  622  651  598  587 11.959448 0.153022 SUCCESS  41
001100101  625  671  651  596  666  653  630  642  6.775660 0.561020 SUCCESS  42
001100111  629  645  640  620  678  600  656  667  7.394700 0.494706 SUCCESS  43
001101011  657  638  627  628  610  659  684  627  6.419902 0.600305 SUCCESS  44
