		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 63.984375	M = 32768	N = 8	m = 9	n = 262144
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   57   64   57   78   73   55   63   74  9.006597 0.341740 SUCCESS   0
000000011   53   70   60   74   68   73   63   70  6.587405 0.581730 SUCCESS   1
000000101   49   66   62   68   63   58   68   67  5.020739 0.755357 SUCCESS   2
000000111   77   80   61   73   80   68   62   73 14.124274 0.078583 SUCCESS   3
000001001   62   65   73   61   83   62   69   75  9.813163 0.278385 SUCCESS   4
000001011   52   57   68   60   70   68   71   61  5.411648 0.712808 SUCCESS   5
000001101   61   61   64   70   42   67   73   67 10.291446 0.245163 SUCCESS   6
000001111   80   71   78   75   74   62   62   75 13.786395 0.087506 SUCCESS   7
000010001   61   64   68   57   79   48   69   70  9.957607 0.268014 SUCCESS   8
000010011   59   69   67   63   75   64   64   62  2.995486 0.934640 SUCCESS   9
000010101   67   70   66   66   55   75   66   64  4.194476 0.839165 SUCCESS  10
000010111   60   59   60   61   70   70   72   46  8.493971 0.386762 SUCCESS  11
000011001   67   55   60   50   53   53   55   54 11.684375 0.165852 SUCCESS  12
000011011   50   53   70   65   48   71   49   73 15.579324 0.048813 SUCCESS  13
000011101   78   69   63   72   58   58   55   82 12.342961 0.136545 SUCCESS  14
000011111   88   61   64   67   71   67   58   64 11.133365 0.194256 SUCCESS  15
000100011   68   53   68   71   67   54   62   65  5.105082 0.746288 SUCCESS  16
000100101   62   59   65   53   54   81   67   64  8.869223 0.353448 SUCCESS  17
000100111   61   65   63   68   70   56   66   63  2.133365 0.976648 SUCCESS  18
000101001   42   68   52   53   78   59   79   68 19.823769 0.011024 SUCCESS  19
000101011   64   70   70   71   55   64   55   64  4.574274 0.801957 SUCCESS  20
000101101   57   69   64   62   59   65   63   59  2.093971 0.977995 SUCCESS  21
000101111   63   61   66   57   68   77   65   45  9.853567 0.275454 SUCCESS  22
000110011   60   60   65   66   55   58   69   57  3.673769 0.885293 SUCCESS  23
000110101   72   63   74   70   59   62   64   67  3.872254 0.868461 SUCCESS  24
000110111   59   50   60   73   65   63   57   65  5.969729 0.650623 SUCCESS  25
000111001   64   63   63   64   57   56   54   57  4.249527 0.833938 SUCCESS  26
000111011   74   57   56   80   68   55   57   75 11.900032 0.155720 SUCCESS  27
000111101   68   60   83   60   61   65   64   75  8.739426 0.364752 SUCCESS  28
000111111   72   57   54   67   68   65   72   65  4.917203 0.766388 SUCCESS  29
001000011   59   74   59   72   43   58   57   69 12.353062 0.136133 SUCCESS  30
001000101   69   56   79   70   69   67   56   51  9.974274 0.266836 SUCCESS  31
001000111   85   57   74   59   69   56   65   72 12.440941 0.132588 SUCCESS  32
001001011   58   65   60   48   63   83   76   60 13.430840 0.097861 SUCCESS  33
001001101   71   73   70   60   86   63   71   53 13.544981 0.094424 SUCCESS  34
001001111   58   80   80   67   68   62   61   68  9.745486 0.283346 SUCCESS  35
001010011   54   64   46   61   75   61   74   58 11.287405 0.185940 SUCCESS  36
001010101   67   57   71   56   55   78   61   59  7.785890 0.454660 SUCCESS  37
001010111   57   65   62   66   57   61   55   66  3.236900 0.918623 SUCCESS  38
001011011   45   67   57   62   56   66   62   60  8.239931 0.410391 SUCCESS  39
001011101   65   72   54   73   64   68   61   51  7.109122 0.524906 SUCCESS  40
001011111   77   63   53   50   55   81   55   60 15.409122 0.051662 SUCCESS  41
001100101   58   39   58   69   56   62   53   67 14.843466 0.062262 SUCCESS  42
001100111   67   61   77   64   65   49   61   54  8.429324 0.392694 SUCCESS  43
001101011   77   69   69   75   69   51   66   65  8.725789 0.365954 SUCCESS  44
001101101   65   60   66   55   59   70   69   60  3.292961 0.914651 SUCCESS  45
001101111   75   63   72   65   77   63   70   56  7.400537 0.494097 SUCCESS  46
001110101   70   61   55   57   56   49   58   71  8.855082 0.354668 SUCCESS  47
001110111   74   60   64   75   74   61   69   67  6.157607 0.629583 SUCCESS  48
001111011   63   56   83   62   62   65   63   70  7.634375 0.469975 SUCCESS  49
001111101   74   74   60   48   81   76   58   79 18.863668 0.015606 SUCCESS  50
001111111   70   56   73   76   72   50   69   69 10.274274 0.246301 SUCCESS  51
010000011   59   61   65   73   57   53   63   69  5.036395 0.753679 SUCCESS  52
010000111   67   69   61   54   59   65   52   70  5.632860 0.688280 SUCCESS  53
010001011   70   59   75   71   58   78   59   53  9.848011 0.275856 SUCCESS  54
010001111   82   79   70   61   80   59   69   56 15.602052 0.048443 SUCCESS  55
010010011   60   81   67   56   61   63   45   66 12.163163 0.144071 SUCCESS  56
010010111   73   64   57   60   64   71   81   59  8.234880 0.410869 SUCCESS  57
010011011   69   71   63   58   79   64   66   54  7.117203 0.524042 SUCCESS  58
010011111   54   86   64   52   72   56   78   83 22.853062 0.003558 FAILURE  59
010100011   59   56   64   54   79   67   68   58  7.673264 0.466020 SUCCESS  60
010100111   44   70   50   70   60   62   70   68 11.950537 0.153425 SUCCESS  61
010101011   67   54   62   65   54   72   63   60  4.760133 0.782879 SUCCESS  62
010101111   54   75   68   58   53   66   59   70  7.413668 0.492728 SUCCESS  63
010110011   55   55   67   71   60   71   54   61  6.358617 0.607129 SUCCESS  64
010110111   62   74   68   65   54   63   57   68  4.637910 0.795482 SUCCESS  65
010111011   66   65   57   54   59   61   54   55  5.942961 0.653621 SUCCESS  66
010111111   61   64   51   54   60   76   67   58  7.795486 0.453699 SUCCESS  67
011000111   70   62   63   54   59   60   51   73  6.971749 0.539684 SUCCESS  68
011001111   55   46   71   63   56   67   70   62  9.168718 0.328264 SUCCESS  69
011010111   53   61   55   79   56   52   70   59 11.380335 0.181066 SUCCESS  70
011011111   66   65   67   75   65   70   56   56  4.852557 0.773213 SUCCESS  71
011101111   75   61   58   73   65   62   67   59  4.626294 0.796669 SUCCESS  72
011111111   77   75   60   72   75   64   74   67  9.723264 0.284989 SUCCESS  73
100000000   57   64   57   78   73   55   63   74  9.006597 0.341740 SUCCESS  74
100010000   52   76   77   58   67   61   66   65  8.344476 0.400564 SUCCESS  75
100100000   55   59   54   72   57   66   66   79  8.919223 0.349156 SUCCESS  76
100101000   60   56   50   69   57   71   53   53 10.337910 0.242105 SUCCESS  77
100110000   67   79   61   73   60   59   55   56  8.241446 0.410248 SUCCESS  78
100111000   68   63   78   65   77   63   58   60  7.056597 0.530539 SUCCESS  79
101000000   62   64   63   65   65   63   64   76  2.461648 0.963495 SUCCESS  80
101000100   60   67   77   68   60   58   59   60  4.895486 0.768686 SUCCESS  81
101001000   81   84   51   63   62   83   71   68 20.858112 0.007534 FAILURE  82
101001100   62   62   73   62   62   63   80   56  6.759628 0.562775 SUCCESS  83
101010000   61   66   76   65   55   68   48   70  8.838920 0.356066 SUCCESS  84
101010100   67   60   66   58   58   74   65   62  3.328314 0.912098 SUCCESS  85
101011000   78   61   63   69   80   69   66   74  9.979830 0.266444 SUCCESS  86
101011100   67   55   57   77   61   68   64   59  5.783870 0.671427 SUCCESS  87
101100000   60   62   65   57   77   62   83   71 10.566193 0.227511 SUCCESS  88
101100100   57   70   74   58   53   59   61   79  9.712658 0.285776 SUCCESS  89
101101000   80   60   66   60   60   76   63   72  8.368213 0.398353 SUCCESS  90
101101100   57   59   60   47   67   63   67   65  6.434880 0.598639 SUCCESS  91
101110000   63   56   58   62   72   65   75   54  6.315688 0.611916 SUCCESS  92
101110100   69   55   56   75   75   64   59   52  9.386395 0.310755 SUCCESS  93
101111000   71   54   76   65   60   65   78   59  8.606092 0.376606 SUCCESS  94
